cycle,cmte_id,cmte_nm,cmte_dsgn,cmte_tp,cmte_pty_affiliation,org_tp,connected_org_nm,cand_id,cand_pty_affiliation,cand_office
2018,C00001347,HAWAII MEDICAL POLITICAL ACTION COMMITTEE,U,Q,UNK,M,,,,
2018,C00001388,"DAIRY FARMERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE; AKA DFA-PAC",B,Q,,V,"DAIRY FARMERS OF AMERICA, INC.",,,
2018,C00001461,ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC),U,Q,,M,ALASKA STATE MEDICAL ASSOCIATION,,,
2018,C00001636,UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC),B,Q,,L,UNITED TRANSPORTATION UNION,,,
2018,C00001727,BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE,U,W,UNK,,,,,
2018,C00001743,LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND,U,Q,,L,LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND,,,
2018,C00001776,NEW MEXICO MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (AKA NEMPAC),U,Q,UNK,C,,,,
2018,C00001917,WY DEMOCRATIC STATE CENTRAL COMMITTEE,U,Y,DEM,,DOLLARS FOR DEMOCRATS,,,
2018,C00002089,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,B,Q,,L,COMMUNICATIONS WORKERS OF AMERICA,,,
2018,C00002238,NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC,U,Q,,T,,,,
2018,C00002261,FEDERATION OF AMERICAN HOSPITALS PAC,B,Q,UNK,T,FEDERATION OF AMERICAN HOSPITALS,,,
2018,C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,B,Q,NNE,L,INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS,,,
2018,C00002592,COMMITTEE TO REELECT TOM FOLEY,P,H,DEM,,,H6WA05023,DEM,H
2018,C00002766,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB,B,Q,UNK,L,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,,,
2018,C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND,U,Q,UNK,C,,,,
2018,C00002832,COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW,B,Q,,L,"INTERNATIONAL UNION, UAW",,,
2018,C00002840,UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM),B,Q,UNK,L,INT'L UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA UAW,,,
2018,C00002881,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.,B,Q,UNK,T,AMERICAN TRUCKING ASSOCIATIONS INC.,,,
2018,C00002907,ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE,U,Q,UNK,T,,,,
2018,C00002972,THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE),B,Q,,T,"VALLEY ELECTRIC ASSOCIATION INC., PAC",,,
2018,C00003061,NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,U,Q,UNK,M,,,,
2018,C00003111,MAINE REPUBLICAN PARTY,U,Y,REP,,MAINE 2018 VICTORY COMMITTEE,,,
2018,C00003152,NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE,U,Q,,,NORTH CAROLINA MEDICAL SOCIETY,,,
2018,C00003160,NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND,U,Q,UNK,L,,,,
2018,C00003194,CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL,U,Q,UNK,,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,,,
2018,C00003210,UTAH MEDICAL POLITICAL ACTION COMMITTEE,U,Q,,T,AMERICAN MEDICAL POLITICAL ACTION COMMITTEE,,,
2018,C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,B,Q,UNK,L,,,,
2018,C00003327,OHIO STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (OSMAPAC),U,Q,,T,,,,
2018,C00003418,REPUBLICAN NATIONAL COMMITTEE,U,Y,REP,,HANDEL VICTORY COMMITTEE,,,
2018,C00003558,NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS,U,Q,NNE,,,,,
2018,C00003590,UNITED STEELWORKERS POLITICAL ACTION FUND,B,Q,NNE,L,USW WORKS,,,
2018,C00003632,INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS PAC,B,Q,UNK,L,INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS,,,
2018,C00003764,NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC),B,Q,UNK,M,NATIONAL RESTAURANT ASSOCIATION,,,
2018,C00003806,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,B,Q,UNK,L,AFL-CIO,,,
2018,C00003855,"NATIONAL CONFECTIONERS ASSOCIATION OF THE UNITED STATES, INC. POLITICAL ACTION COMMITTEE (CANDY PAC)",B,Q,,T,NATIONAL CONFECTIONERS ASSOCIATION,,,
2018,C00003863,"DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOCIATION - RETIREES' GROUP FUND (MEBA-",B,Q,UNK,L,,,,
2018,C00003897,6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA,U,Y,DEM,,,,,
2018,C00003970,IOWA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE,U,Q,,M,IOWA MEDICAL SOCIETY,,,
2018,C00003988,NEBRASKA DEMOCRATIC PARTY,U,Y,DEM,,,,,
2018,C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),B,Q,,L,SERVICE EMPLOYEES INTERNATIONAL UNION,,,
2018,C00004101,NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE,B,Q,UNK,T,NATIONAL UTILITY CONTRACTORS ASSOCIATION,,,
2018,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),B,Q,NNE,T,ARKANSAS BANKERS ASSOCIATION PAC INC.,,,
2018,C00004325,SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW,U,Q,,L,SEAFARERS INTERNATIONAL UNION OF NA-AGLIW,,,
2018,C00004440,TEAMSTERS LOCAL 745 DRIVE,U,Q,,L,TEAMSTERS LOCAL NO. 745,,,
2018,C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,B,Q,,T,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION,,,
2018,C00004606,KANSAS REPUBLICAN PARTY,U,Y,REP,,YODER KANSAS VICTORY FUND,,,
2018,C00004812,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),B,Q,UNK,T,MORTGAGE BANKERS ASSOCIATION,,,
2018,C00004861,UNITE HERE TIP CAMPAIGN COMMITTEE,U,Q,,L,UNITE HERE,,,
2018,C00004879,AMERICAN BUS ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,UNK,T,,,,
2018,C00004911,ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA,U,Q,UNK,M,MEDICAL ASSOCIATION OF THE STATE OF ALABAMA,,,
2018,C00004929,PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE FEDERAL,U,Q,UNK,T,AMERICAN MEDICAL POLITICAL ACTION COMMITTEE,,,
2018,C00004952,ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION,U,Q,UNK,C,ELECTRIC COOPERATIVES OF MISSISSIPPI,,,
2018,C00004994,PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC),B,Q,NNE,T,NATIONAL ASSOCIATION OF PROFESSIONAL INSURANCE AGENTS,,,
2018,C00005132,SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC),U,Q,UNK,M,SOUTH DAKOTA STATE MEDICAL ASSOCIATION,,,
2018,C00005157,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,B,Q,,L,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS IRON SHIP BUILDERS BLACKSMITH FORGERS & HELPERS,,,
2018,C00005173,STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA,U,Y,DEM,,DOLLARS FOR DEMOCRATS,,,
2018,C00005249,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,B,Q,UNK,M,,,,
2018,C00005462,10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE,U,Y,REP,,REPUBLICAN PARTY OF VIRGINIA INC,,,
2018,C00005561,DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA,U,Y,DEM,,DOLLARS FOR DEMOCRATS,,,
2018,C00005660,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE,B,Q,UNK,,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,,,
2018,C00005785,"WYOMING REPUBLICAN PARTY, INC.",U,Y,REP,,NONE,,,
2018,C00005801,6TH CONGRESSIONAL DISTRICT REPUBLICAN FEDERAL COMMITTEE,U,Y,REP,,,,,
2018,C00005926,ILLINOIS REPUBLICAN PARTY,U,Y,REP,,REPUBLICAN NATIONAL COMMITTEE,,,
2018,C00006080,AMERICAN HEALTH CARE ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,,T,AMERICAN HEALTH CARE ASSOCIATION,,,
2018,C00006486,"INDIANA REPUBLICAN STATE COMMITTEE, INC.",U,Y,REP,,TEAM HOLCOMB,,,
2018,C00007070,TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC),B,Q,,C,TEXAS INSTRUMENTS INCORPORATED,,,
2018,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,,T,AMERICAN GAS ASSOCIATION,,,
2018,C00007542,"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS POLITICAL ACTION LEAGUE",B,Q,,L,"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",,,
2018,C00007658,DEMOCRATIC PARTY OF SOUTH CAROLINA,U,Y,DEM,,DOLLARS FOR DEMOCRATS,,,
2018,C00007666,PREBLE COUNTY DEMOCRATIC CENTRAL COMMITTEE,U,X,,,,,,
2018,C00007849,SPEAK UP FOR RURAL ELECTRIFICATION (SURE),U,Q,,M,,,,
2018,C00007880,CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION,B,Q,,T,CREDIT UNION NATIONAL ASSOCIATION,,,
2018,C00007898,OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION (OPEIU) JB MOSS VOICE OF THE ELECTORATE (VOTE),U,Q,UNK,L,,,,
2018,C00007922,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC,B,Q,UNK,L,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,,,
2018,C00007948,WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,B,Q,,C,WEYERHAEUSER COMPANY,,,
2018,C00008078,OHIO D.R.I.V.E. (DEMOCRATIC  REPUBLICAN INDEPENDENT VOTER EDUCATION  - TEAMSTERS JOINT COUNCIL  #41),U,Q,,L,TEAMSTERS JOINT COUNCIL #41,,,
2018,C00008086,MONTANA REPUBLICAN STATE CENTRAL COMMITTEE,U,Y,REP,,DAINES MONTANA VICTORY COMMITTEE,,,
2018,C00008110,DEMOCRATIC PARTY OF THE SECOND CONGRESSIONAL DISTRICT OF WISCONSIN *,U,Y,DEM,,,,,
2018,C00008151,FIRST HORIZON NATIONAL CORPORATION FEDERAL PAC,U,Q,,C,FIRST HORIZON NATIONAL CORPORATION,,,
2018,C00008169,ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE),U,Q,,V,ACTION COMMITTEE FOR RURAL ELECTRIFICATION. (ACRE) NATIONAL RURAL ELECTRIC COOPERATIVE,,,
2018,C00008227,ARIZONA REPUBLICAN PARTY,U,Y,REP,,WIN IN 2018,,,
2018,C00008268,TRANSPORT WORKERS UNION POLITICAL CONTRIBUTIONS COMMITTEE,B,Q,,L,TRANSPORT WORKERS UNION OF AMERICA,,,
2018,C00008409,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL #302 VOLUNTARY POLITICAL FUND,U,Q,UNK,L,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 302,,,
2018,C00008474,CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL),B,Q,,C,CITIGROUP INC.,,,
2018,C00008664,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,U,Y,REP,,BLUNT VICTORY COMMITTEE,,,
2018,C00008748,SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL,B,Q,NNE,C,,,,
2018,C00008755,REPUBLICAN PARTY SIXTH CONGRESSIONAL DISTRICT OF WISCONSIN,U,Y,REP,,,,,
2018,C00008839,AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,U,Q,,,"AMERICAN PODIATRIC MEDICAL ASSOCIATION, INC.",,,
2018,C00008896,"OPEIU LOCAL 153 ""VOTE"" (VOICE OF THE ELECTORATE) COMMITTEE",U,Q,,L,EMPLOYEES INT'L UNION; OFFICE & PROF.,,,
2018,C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,B,Q,UNK,C,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,,,
2018,C00009357,THE RECORDING INDUSTRY ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE,B,Q,,T,"THE RECORDING INDUSTRY ASSOCIATION OF AMERICA, INC.",,,
2018,C00009423,"LAND O'LAKES, INC., PAC",B,Q,,V,"LAND O'LAKES, INC.",,,
2018,C00009639,SUNTRUST MAIN STREET BANKERS PAC,U,Q,NNE,C,"SUNTRUST BANK (CONNECTED), TENNESSEE, MID-ATLANTIC, FL, NC",,,
2018,C00009704,CONSERVATIVE VICTORY FUND,U,Q,CRV,,,,,
2018,C00009795,GREATER WASHINGTON BOARD OF TRADE FEDERAL PAC,U,Q,,M,,,,
2018,C00009845,MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,U,Y,DEM,,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,,,
2018,C00009936,AMERICAN FEDERATION OF GOVT. EMPL. POLITICAL ACTION COMMITTEE,B,Q,UNK,L,AMERICAN FEDERATION OF GOV'T EMPLOYEES,,,
2018,C00009985,NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC),B,Q,UNK,T,NATIONAL ASSOCIATION OF BROADCASTERS,,,
2018,C00010033,MONTANA DEMOCRATIC PARTY,U,Y,DEM,,TESTER VICTORY FUND,,,
2018,C00010082,NCTA - THE INTERNET AND TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC),B,Q,,T,,,,
2018,C00010124,ASSOCIATED EQUIPMENT DISTRIBUTORS POLITICAL ACTION COMMITTEE,B,Q,UNK,T,ASSOCIATED EQUIPMENT DISTRIBUTORS,,,
2018,C00010322,AMERICAN POSTAL WORKERS UNION COMMITTEE ON POLITICAL ACTION,U,W,,,,,,
2018,C00010363,CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE,U,Q,,,,,,
2018,C00010421,ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE (ABC PAC),B,Q,UNK,T,ASSOCIATED BUILDERS & CONTACTORS,,,
2018,C00010439,IDAHO STATE DEMOCRATIC PARTY,U,Y,DEM,,DOLLARS FOR DEMOCRATS,,,
2018,C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,B,Q,UNK,C,UNION PACIFIC CORPORATION,,,
2018,C00010520,MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT,B,Q,NNE,C,MEREDITH CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT,,,
2018,C00010561,KANSAS ACTION COMMITTEE FOR RURAL ELECTRIFICATION,U,Q,,T,,,,
2018,C00010603,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,U,Y,DEM,,,,,
2018,C00010793,THE LOOSE GROUP,U,Q,NAT,,NONE,,,
2018,C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),B,Q,UNK,T,AMERICAN COUNCIL OF ENGINEERING COMPANIES,,,
2018,C00010876,TEAMSTERS UNION LOCAL #115 POLITICAL ACTION FUND (AKA DRIVE-LOCAL NO. 115),U,Q,,L,TEAMSTERS UNION LOCAL NO. 115,,,
2018,C00010983,JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE,B,Q,,C,JOHNSON & JOHNSON,,,
2018,C00011114,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,B,Q,UNK,L,"DISTRICT COUNCIL 37, AFSCME PUBLIC EMPLOYEES ORGANIZED FOR POL & LEG EQUALITY",,,
2018,C00011189,GLASS MOLDERS POTTERY PLASTICS & ALLIED WORKERS INTERNATIONAL UNION - POLITICAL ED LEAG,U,Q,,L,,,,
2018,C00011197,KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,U,Y,DEM,,,,,
2018,C00011262,BROTHERHOOD OF RAILROAD SIGNALMEN POLITICAL ACTION COMMITTEE,B,Q,UNK,L,,,,
2018,C00011338,"SAILORS' POLITICAL FUND (FKA) SAILORS' UNION OF THE PACIFIC POLITICAL FUND, DON, DON",U,Q,,L,,,,
2018,C00011544,OHIO DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,U,Q,,T,OHIO DENTAL ASSOCIATION,,,
2018,C00011627,MINNESOTA BANKERS POLITICAL ACTION COMMITTEE,U,Q,,T,,,,
2018,C00011643,IMPERIAL COUNTY REPUBLICAN PARTY (FED),U,Y,REP,,CALIFORNIA REPUBLICAN PARTY (FEDERAL),,,
2018,C00011767,PAC INTERNATIONAL UNION SECURITY POLICE FIRE PROFESSIONALS OF AMERICA (SPFPA),U,N,UNK,L,,,,
2018,C00012211,NORTH CAROLINA DENTAL SOCIETY PAC,U,Q,,M,NORTH CAROLINA DENTAL SOCIETY,,,
2018,C00012229,ALASKANS FOR DON YOUNG,P,H,REP,,NONE,H6AK00045,REP,H
2018,C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),B,Q,,C,UBS AMERICAS INC.,,,
2018,C00012310,BLACK & VEATCH POLITICAL ACTION COMMITTEE,B,Q,UNK,C,,,,
2018,C00012328,FLORIDA SUGAR CANE LEAGUE PAC,B,Q,UNK,T,FLORIDA SUGAR CANE LEAGUE,,,
2018,C00012401,CALIFORNIA LEAGUE OF CONSERVATION VOTERS,U,Q,UNK,,CALIFORNIA LEAGUE OF CONSERVATION VOTERS,,,
2018,C00012468,THE COCA-COLA COMPANY NONPARTISAN COMMITTEE FOR GOOD GOVERNMENT,B,Q,UNK,C,THE COCA-COLA COMPANY,,,
2018,C00012476,UNITED ASSOCIATION POLITICAL EDUCATION COMMITTEE (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA),B,Q,,L,PLUMBERS & STEAMFITTERS LOCAL 22 PAC INC,,,
2018,C00012484,FLORIDA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,NNE,T,ABA BANK PAC,,,
2018,C00012880,AMERICAN PHYSICAL THERAPY ASSOCIATION PHYSICAL THERAPY POLITICAL ACTION COMMITTEE (PT-PAC),B,Q,,M,AMERICAN PHYSICAL THERAPY ASSOCIATION,,,
2018,C00012914,AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC),B,Q,,T,AMERICAN LAND TITLE ASSOCIATION,,,
2018,C00013128,CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE,P,H,DEM,,LA PAC,H6CA24048,DEM,H
2018,C00013342,UNITED MINE WORKERS OF AMERICA - COAL MINERS POLITICAL ACTION COMMITTEE,U,Q,,L,1UNITED MINE WORKERS OF AMERICA,,,
2018,C00013748,NORTH DAKOTA DEMOCRATIC-NONPARTISAN LEAGUE PARTY,U,Y,DEM,,DOLLARS FOR DEMOCRATS,,,
2018,C00013961,SHEET METAL AND AIR CONDITIONING CONTRACTORS POLITICAL ACTION COMMITTEE,U,Q,,T,"SHEET METAL & AIR CONDITIONING CONTRACTORS' NATIONAL ASSOC., INC.",,,
2018,C00014019,COMMITTEE ORGANIZED FOR THE TRADING OF COTTON PAC OF THE AMERICAN COTTON SHIPPERS ASSOCIAT,U,Q,UNK,T,,,,
2018,C00014092,SAN BERNARDINO COUNTY REPUBLICAN CENTRAL COMMITTEE-FEDERAL,U,Y,REP,,CALIFORNIA REPUBLICAN PARTY-FEDERAL ACCOUNT,,,
2018,C00014498,REPUBLICAN PARTY OF IOWA,U,Y,REP,,REPUBLICAN NATIONAL COMMITTEE,,,
2018,C00014555,FOOD MARKETING INSTITUTE POLITICAL ACTION COMMITTEE FOODPAC,B,Q,UNK,T,FOOD MARKETING INSTITUTE,,,
2018,C00014878,GENERAL AVIATION MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE,U,Q,UNK,T,AVIATION MANUFACTURERS ASS'N; GENERAL,,,
2018,C00015552,BEEF-PAC (BEEF POLITICAL ACTION COMMITTEE OF TEXAS CATTLE FEEDERS ASSOCIATION),B,Q,UNK,T,TEXAS CATTLE FEEDERS ASSOCIATION,,,
2018,C00015594,LOUISVILLE & JEFFERSON COUNTY REPUBLICAN EXECUTIVE COMMITTEE,U,Y,REP,,,,,
2018,C00015933,PINNACLE WEST CAPITAL CORPORATION PAC,B,Q,,C,,,,
2018,C00016386,AMERICAN BAKERS ASSOCIATION AMERICAN BAKERS POLITICAL ACTION COMMITTEE,B,Q,UNK,T,AMERICAN BAKERS ASSOCIATION,,,
2018,C00016444,KENTUCKY MEDICAL ASSOCIATION PAC (KENTUCKY PHYSICIANS PAC FEDERAL-KPPAC FEDERAL),U,Q,,C,KENTUCKY MEDICAL ASSOCIATION,,,
2018,C00016683,PFIZER INC. PAC,B,Q,UNK,C,PFIZER INC.,,,
2018,C00016899,OHIO DEMOCRATIC PARTY,U,Y,DEM,,DNC STATE PARTY VICTORY FUND,,,
2018,C00017194,INTERNATIONAL UNION OF OPERATING ENGINEERS LO 825 POLITICAL ACTION AND EDUCATION COMMITTEE,U,Q,,L,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 825,,,
2018,C00017244,MARINE FIREMAN'S UNION POLITICAL ACTION FUND,U,Q,NNE,L,,,,
2018,C00017525,AMERICAN NURSES ASSOCIATION PAC,B,Q,,T,AMERICAN NURSES ASSOCIATION,,,
2018,C00017558,BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC,B,Q,UNK,C,THE BANK OF NEW YORK MELLON CORPORATION,,,
2018,C00017681,ALEXANDER AND BALDWIN INC FEDPAC,U,Q,UNK,C,"ALEXANDER & BALDWIN, INC. (A HAWAII CORPORATION INCORPORATED ON MARCH 19, 2012)",,,
2018,C00018028,PRINTING INDUSTRIES OF AMERICA,B,Q,NNE,M,,,,
2018,C00018036,U.S. BANCORP POLITICAL PARTICIPATION PROGRAM,B,Q,,C,U.S. BANCORP FEDERAL POLITICAL ACTION COMMITTEE,,,
2018,C00018135,DEMOCRATIC CANDIDATE FUND,U,Q,DEM,M,,,,
2018,C00018929,NORTH DAKOTA REPUBLICAN PARTY,U,Y,REP,,CRAMER VICTORY FUND,,,
2018,C00018945,DORSEY NATIONAL FUND,U,Q,,W,NONE,,,
