committee,side,labor,side_orig,labor_orig,changed,change_detail,entity_type,level,jurisdiction,is_conduit,confidence,evidence,source_url,proposed_by,reviewed,n_gifts,dollars,sources
SUFFOLK COUNTY CONSERVATIVE COMMITTEE,REP,FALSE,,FALSE,yes,side:blank->REP,party_committee,county,"Suffolk County, NY",FALSE,high,This is the Suffolk County organization of the Conservative Party of New York State which usually endorses the same candidates as the Republican Party and campaigns against Democrats,https://en.wikipedia.org/wiki/Conservative_Party_of_New_York_State,web-research-2026-08-08,yes,2042,525410,nyboe
FRIENDS OF ANGIE CARPENTER,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Islip, Suffolk County, NY",FALSE,high,Angie Carpenter is the Republican Town of Islip Supervisor who sought re-election against Democrat Kenneth Colon,https://www.babylonbeacon.com/articles/republican-islip-town-supervisor-angie-carpenter-seeking-re-election-and-is-challenged-by-democrat-kenneth-colon/,web-research-2026-08-08,yes,2259,517740,nyboe
DSCC,DEM,FALSE,,FALSE,yes,side:blank->DEM,party_committee,federal,United States,FALSE,high,DSCC is the FEC filer name of the Democratic Senatorial Campaign Committee the Democratic national party committee for US Senate races,https://www.fec.gov/legal-resources/court-cases/democratic-senatorial-campaign-committee-v-national-republican-senatorial-committee/,web-research-2026-08-08,yes,5361,492304,fec
NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE (NYSSRCC),REP,FALSE,REP,FALSE,no,,party_committee,state,New York State,FALSE,high,Name states it is the campaign committee of the New York State Senate Republican conference,,web-research-2026-08-08,yes,582,492064,nyboe
SUFFOLK COUNTY REPUBLICAN COMMITTEE CAMPAIGN ACCT (SCRC),REP,FALSE,REP,FALSE,no,,party_committee,county,"Suffolk County, NY",FALSE,high,The name identifies it as the campaign account of the official Republican Party county committee for Suffolk County,,web-research-2026-08-08,yes,2359,491879,nyboe
FRIENDS OF DAN LOSQUADRO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Brookhaven, NY",FALSE,high,Dan Losquadro is the Republican Brookhaven Town Highway Superintendent and a former Republican New York State Assemblyman,https://ballotpedia.org/Daniel_Losquadro,web-research-2026-08-08,yes,1867,491729,nyboe
EAST ROCKAWAY REPUBLICAN FINANCE COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,village,"Village of East Rockaway, Nassau County, NY",FALSE,medium,The name identifies it as the fundraising arm of the Republican party organization in East Rockaway which is an incorporated village inside the Town of Hempstead in Nassau County,"https://en.wikipedia.org/wiki/East_Rockaway,_New_York",web-research-2026-08-08,yes,3012,491279,nyboe
NICOLE FOR NASSAU,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Nicole for Nassau is the campaign site of Nicole Aloise who was the Democratic nominee for Nassau County District Attorney in 2025 against Republican Anne Donnelly,https://en.wikipedia.org/wiki/2025_Nassau_County_District_Attorney_election,web-research-2026-08-08,yes,454,490458,nyboe
FRIENDS OF STEVE LEVY,,FALSE,,FALSE,no,,candidate,county,"Suffolk County, NY",FALSE,medium,Steve Levy served his entire 2004-2011 term as Suffolk County Executive as a Democrat with Republican cross-endorsement in 2007 and his switch to the Republican Party only took effect after the November 2010 election.,https://en.wikipedia.org/wiki/Steve_Levy_(politician),web-research-2026-08-08,yes,772,487179,nyboe
GILLEN FOR NY,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,United States,FALSE,high,Laura Gillen is the Democrat who won New York's 4th Congressional District in Nassau County in 2024 defeating Republican Anthony D'Esposito.,https://www.fec.gov/data/candidate/H2NY04244/,web-research-2026-08-08,yes,1170,457578,fec
HUNTINGTON REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Huntington, NY",FALSE,high,The committee name itself states it is the Republican Party committee for the Town of Huntington in Suffolk County,,web-research-2026-08-08,yes,1667,451864,nyboe
CITIZENS FOR D'ESPOSITO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Hempstead, NY",FALSE,high,Anthony D'Esposito is a Republican who served on the Hempstead Town Council before winning the NY-04 congressional seat as a Republican in 2022,https://en.wikipedia.org/wiki/Anthony_D%27Esposito,web-research-2026-08-08,yes,2070,435923,nyboe
JOHN AVLON FOR CONGRESS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,New York,FALSE,high,John Avlon was the Democratic nominee for New York's 1st congressional district in 2024 and lost to Republican Nick LaLota.,https://ballotpedia.org/John_Avlon,web-research-2026-08-08,yes,800,426194,fec
SUFFOLK COUNTY REPUBLICAN COMMITTEE - THE CHAIRMANS CLUB (SCRC),REP,FALSE,REP,FALSE,no,,party_committee,county,"Suffolk County, NY",FALSE,high,The committee name states it is the Chairman's Club fundraising arm of the Suffolk County Republican Committee the official county GOP organization.,,web-research-2026-08-08,yes,1245,423460,nyboe
TOWN OF ISLIP REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Islip, NY",FALSE,high,The committee name itself states it is the Republican Party committee for the Town of Islip in Suffolk County,,web-research-2026-08-08,yes,2030,403684,nyboe
HICKSVILLE REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Hicksville, Town of Oyster Bay, NY",FALSE,high,Hicksville is a hamlet in the Town of Oyster Bay in Nassau County and this is its local Republican Party committee,"https://en.wikipedia.org/wiki/Hicksville,_New_York",web-research-2026-08-08,yes,854,391435,nyboe
MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK POLITICAL ACTION COMMITTEE,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,state,New York State,FALSE,high,Mason Tenders District Council of Greater New York is a LIUNA Laborers union district council whose LiUNA-NY political operation endorses Democratic candidates,https://www.mttf.org/2020/07/30/liuna-ny-endorses-longtime-labor-advocate-rebecca-lamorte/,web-research-2026-08-08,yes,50648,386153,nyboe
DINAPOLI FOR NEW YORK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Thomas DiNapoli is the Democratic New York State Comptroller and this is one of his statewide candidate committees,https://en.wikipedia.org/wiki/Thomas_DiNapoli,web-research-2026-08-08,yes,1796,378643,nyboe
FRIENDS OF JUDI BOSWORTH,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"Town of North Hempstead, NY",FALSE,high,Judi Bosworth is the Democrat elected Town of North Hempstead Supervisor in 2013 who served until 2021.,https://patch.com/new-york/greatneck/north-hempstead-town-supervisor-candidates-meet-judi-bosworth,web-research-2026-08-08,yes,1113,378161,nyboe
FRIENDS OF JON KAIMAN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"Town of North Hempstead, NY",FALSE,high,Jon Kaiman is a Democrat who served as North Hempstead Town Supervisor and ran again for that office on the Democratic ticket,https://theisland360.com/featured/kaiman-runs-for-old-post-of-n-hempstead-supervisor-on-dem-ticket/,web-research-2026-08-08,yes,876,368112,nyboe
KOSLOW FOR NASSAU,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Seth Koslow is the Democratic Nassau County Legislator from Merrick who was the Democratic nominee for Nassau County Executive in 2025 against Bruce Blakeman.,https://en.wikipedia.org/wiki/2025_Nassau_County_Executive_election,web-research-2026-08-08,yes,1022,367073,nyboe
JACK SCHNIRMAN FOR NASSAU,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Jack Schnirman is the Democrat who won the 2017 Nassau County Comptroller race over Republican Steve Labriola,"https://liherald.com/stories/jack-schnirman-named-nassau-county-comptroller-defeats-steve-labriola,97394",web-research-2026-08-08,yes,718,361719,nyboe
NORTH VALLEY STREAM REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,The name states it is a Republican Party committee and North Valley Stream is an unincorporated hamlet in the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,1490,350152,nyboe
"NEVER SURRENDER, INC.",REP,FALSE,,FALSE,yes,side:blank->REP,leadership_pac,federal,United States,FALSE,high,FEC lists committee C00828541 as Donald Trump's leadership PAC Never Surrender Inc which is the renamed Donald J. Trump for President 2024 principal campaign committee,https://www.fec.gov/data/committee/C00828541/,web-research-2026-08-08,yes,3796,341780,fec
ANNA KAPLAN FOR NY STATE SENATE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Anna Kaplan is a Democrat who served in the New York State Senate representing the 7th district in Nassau County from 2018 to 2022,https://en.wikipedia.org/wiki/Anna_Kaplan,web-research-2026-08-08,yes,985,336799,nyboe
MARTINS FOR NASSAU,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Nassau County, NY",FALSE,high,Jack Martins is a Republican former Mineola mayor and state senator who was the GOP nominee for Nassau County Executive in 2017 and lost narrowly to Democrat Laura Curran.,https://en.wikipedia.org/wiki/Jack_Martins,web-research-2026-08-08,yes,602,334301,nyboe
NASSAU COUNTY CONSERVATIVE PARTY,REP,FALSE,REP,FALSE,no,,party_committee,county,"Nassau County, NY",FALSE,high,This is the Nassau county organization of the New York Conservative Party which routinely cross-endorses Republican candidates and folds to REP under the project fusion rule,,web-research-2026-08-08,yes,1512,320264,nyboe
ELEANOR ROOSEVELT LEGACY COMMITTEE,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,state,New York State,FALSE,high,The Eleanor Roosevelt Legacy Committee operating as Eleanor's Legacy was founded by former NY Democratic Party chair Judith Hope to recruit train and fund pro-choice Democratic women candidates across New York,https://www.eleanorslegacy.com/about,web-research-2026-08-08,yes,929,318704,nyboe
FRIENDS OF ED WEHRHEIM,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Smithtown, NY",FALSE,high,Ed Wehrheim is the incumbent Town of Smithtown Supervisor who runs and wins as a Republican including the contested GOP primary,https://longisland.news12.com/race-heats-up-in-republican-primary-for-smithtown-town-supervisor,web-research-2026-08-08,yes,1932,312461,nyboe
ISLAND PARK-LIDO-POINT LOOKOUT - REPUBLICAN CLUB FINANCE COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,The name states it is a Republican club and Island Park Lido Beach and Point Lookout all sit inside the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,1454,311399,nyboe
BROOKHAVEN TOWN DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Brookhaven, NY",FALSE,high,The committee name itself states it is the Democratic Party committee for the Town of Brookhaven in Suffolk County,,web-research-2026-08-08,yes,1821,310689,nyboe
"SOUTHOLD TOWN DEMOCRATIC COMMITTEE (""STDC"")",DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Southold, Suffolk County, NY",FALSE,high,The Southold Town Democratic Committee is the official town level Democratic Party organization listed by the Suffolk County Democratic Committee,https://suffolkcountydems.com/content/southold-town-democratic-committee,web-research-2026-08-08,yes,2514,304601,nyboe
RAY TIERNEY FOR DISTRICT ATTORNEY,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,Ray Tierney is the Republican who unseated Democratic Suffolk County District Attorney Tim Sini in November 2021.,https://www.longislandpress.com/2021/11/03/ray-tierney-unseats-suffolk-da-tim-sini/,web-research-2026-08-08,yes,754,304010,nyboe
CENTRAL ISLIP TEACHERS' ASSOCIATION POLITICAL ACTION COMMITTEE,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,town,"Central Islip School District, Town of Islip, Suffolk County, NY",FALSE,medium,A New York school district teachers association is the collective bargaining union local affiliated with NYSUT and AFT and NYSUT affiliated committees lean Democratic,https://www.nysut.org/,web-research-2026-08-08,yes,2419,299026,nyboe
FRIENDS OF LAURA GILLEN,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,town,"Town of Hempstead, NY",FALSE,high,Laura Gillen is a Democrat who was elected Town of Hempstead Supervisor in 2017 and later won the NY-4 congressional seat,https://en.wikipedia.org/wiki/Laura_Gillen,web-research-2026-08-08,yes,529,297080,nyboe
BLAKEMAN FOR NEW YORK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Nassau County, NY",FALSE,high,Bruce Blakeman is the Republican Nassau County Executive elected in 2021 and reelected in 2025 who also announced a 2026 run for governor,https://en.wikipedia.org/wiki/Bruce_Blakeman,web-research-2026-08-08,yes,904,288157,nyboe
