rank,committee,resolved_name,n_gifts,dollars,sources,state,cmte_tp,org_tp,connected_org,cum_pct_of_untagged,side,labor,corporate_trade,confidence,evidence,source_url,entity_type,proposed_by,reviewed
25,"RICHARDS, DONOVAN",,612,172892.83,nyccfb,not_in_fec_master,,,,33.91,DEM,false,false,high,Donovan Richards is the Democratic Queens Borough President,,candidate,web-research-v2-2026-08-10,yes
26,GEICO NEW YORK PAC,,607,1828.0,nyboe,in_master_no_party,,,,34.31,,false,true,high,GEICO is a private auto insurance corporation so this is its New York registered corporate PAC with no established single party lean,,corporate_pac,carried-forward:committee_overrides_corrected:name,yes
27,"MAMDANI, ZOHRAN K",,594,107608.5,nyccfb,not_in_fec_master,,,,34.7,DEM,false,false,high,Zohran Mamdani won the 2025 Democratic mayoral primary and the general election on the Democratic line,,candidate,web-research-v2-2026-08-10,yes
28,"CUOMO, ANDREW M",,568,379428.97,nyccfb,not_in_fec_master,,,,35.08,DEM,false,false,medium,Andrew Cuomo is a lifelong Democrat who contested the 2025 Democratic mayoral primary before adding an independent general election line,,candidate,web-research-v2-2026-08-10,yes
29,C00034157,AFLAC,549,68565.0,fec,in_master_no_party,Q,C,AFLAC,35.44,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
30,C00160259,HEALTHCARE ASSOCIATION OF NEW YORK STATE,523,238981.0,fec,in_master_no_party,N,T,HEALTHCARE ASSOCIATION OF NEW YORK STATE,35.78,,false,true,high,FEC registers this committee with organization type T meaning a trade association so it is an industry PAC that funds candidates of both parties,,trade_assoc_pac,rule-engine-v2 (fec:org_tp=trade_assoc),yes
31,C00274431,UNITEDHEALTH GROUP INCORPORATED,517,103645.0,fec,in_master_no_party,Q,C,UNITEDHEALTH GROUP INCORPORATED,36.12,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
32,C00894295,PROGRESSIVE TURNOUT PROJECT,515,12803.0,fec,in_master_no_party,V,,PROGRESSIVE TURNOUT PROJECT,36.46,DEM,false,false,high,Progressive Turnout Project is a Chicago based hybrid PAC whose stated goal is increasing voter turnout for Democratic candidates,https://www.influencewatch.org/political-party/progressive-turnout-project/,ideological_pac,carried-forward:committee_overrides_corrected:connected_org,yes
33,LAWPAC OF NEW YORK,,513,50275.1,nyboe,in_master_no_party,,,,36.8,,false,true,medium,LawPAC is the political action committee of the New York State Trial Lawyers Association a professional/trade association and reporting on its Albany spending finds the money goes to Republicans and Democrats in both chambers.,https://www.newyorkpersonalinjuryattorneysblog.com/new_york_personal_injury_attor_5/,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
34,C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,501,203720.0,fec,in_master_no_party,Q,M,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,37.13,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,rule-engine-v2 (trade_assoc:name),yes
35,C00010082,NCTA - THE INTERNET & TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTAPAC),484,15351.0,fec,in_master_no_party,Q,T,,37.44,,false,true,high,FEC registers this committee with organization type T meaning a trade association so it is an industry PAC that funds candidates of both parties,,trade_assoc_pac,carried-forward:committees_tagged:resolved-fec-name,yes
36,C00024521,AMERICAN ASSOCIATION FOR JUSTICE (AAJ),474,154956.0,fec,in_master_no_party,Q,M,AMERICAN ASSOCIATION FOR JUSTICE (AAJ),37.76,,false,true,high,The American Association for Justice is the trial lawyers professional association and its PAC is a trade association fund rather than a bargaining union,,trade_assoc_pac,web-research-v2-2026-08-10,yes
37,NEW YORKERS FOR BETTER LIBRARIES PAC,,444,51761.3,nyboe,in_master_no_party,,,,38.05,,false,true,medium,This PAC was established by New York library leaders to lobby Albany for library funding and it rates and backs legislators of both parties,https://newyorkersforbetterlibraries.org/who-we-are/,trade_assoc_pac,carried-forward:committees_tagged:name,yes
38,C00348938,CHUBB GROUP HOLDINGS INC.,439,44983.0,fec,in_master_no_party,Q,C,CHUBB GROUP HOLDINGS INC.,38.34,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
39,NEW YORK STATE FARM ASSOCIATES POLITICAL ACTION COMMITTEE (NY SFA PAC),,438,26125.0,nyboe,in_master_no_party,,,,38.62,,false,true,high,The PAC says it was formed by State Farm insurance agents and describes itself as a bipartisan PAC engaging legislators of all political affiliations,https://nysfapac.com/About-us.php,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
40,C00787945,BLUEWAVEAMERICA,423,28214.0,fec,in_master_no_party,Q,,NONE,38.9,DEM,false,false,high,BlueWaveAmerica is a Democratic super PAC founded by former Congressman Mike Ward that supports Democratic candidates in swing states,https://www.influencewatch.org/political-party/blue-wave-america/,ideological_pac,carried-forward:committees_tagged:resolved-fec-name,yes
41,C00400929,AMERISOURCEBERGEN CORPORATION,416,9368.0,fec,in_master_no_party,Q,C,AMERISOURCEBERGEN CORPORATION,39.18,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
42,C00197863,ALTICE USA,413,41279.0,fec,in_master_no_party,Q,C,ALTICE USA,39.45,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
43,C00100321,HARRIS CORPORATION,408,85539.0,fec,in_master_no_party,Q,C,HARRIS CORPORATION,39.72,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
44,C00197228,"ANTHEM, INC.",407,37795.0,fec,in_master_no_party,Q,C,"ANTHEM, INC.",39.98,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
45,GREEN PARTY OF NEW YORK,,401,15175.5,nyboe,in_master_no_party,,,,40.25,,false,false,high,Minor-party committee (Independence Libertarian Green Reform SAM or Forward) which does not fold to either major party under the project convention,,other,carried-forward:committees_tagged:name,yes
46,C99002396,AMERICAN POLITICAL ACTION COMMITTEE,399,19125.0,fec,in_master_no_party,Q,,NONE,40.51,,false,false,low,Long running direct mail committee filed under FEC ID C99002396 with no disclosed sponsor or connected organization so no partisan orientation could be established,https://www.fec.gov/data/committee/C99002396/,other,web-research-v2-pass2-2026-08-10,yes
47,"WILEY, MAYA D",,380,20673.79,nyccfb,not_in_fec_master,,,,40.76,DEM,false,false,high,Maya Wiley ran in the 2021 Democratic primary for Mayor of New York City,,candidate,web-research-v2-2026-08-10,yes
48,C00404194,GENWORTH FINANCIAL INC,379,40284.0,fec,in_master_no_party,Q,C,GENWORTH FINANCIAL INC,41.01,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
49,MEDICAL SOCIETY OF THE STATE OF NEW YORK POLITICAL ACTION COMMITTEE,,374,75346.84,nyboe,in_master_no_party,,,,41.25,,false,true,high,MSSNY is a professional association of roughly 20000 licensed New York physicians so its PAC is a trade association PAC not a labor union and it funds legislators of both parties,https://en.wikipedia.org/wiki/Medical_Society_of_the_State_of_New_York,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
50,C00408260,THE GRANT THORNTON ADVISORS LLC POLITICAL ACTION COMMITTEE,373,56261.0,fec,in_master_no_party,Q,,NONE,41.5,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,carried-forward:committees_tagged:resolved-fec-name,yes
51,PHARMACY PAC OF NEW YORK STATE,,371,30750.0,nyboe,in_master_no_party,,,,41.74,,false,true,high,RxPAC is the NY BOE registered PAC of the Pharmacists Society of the State of New York a professional association that gives to statewide Senate and Assembly candidates of both parties,https://newyorkrxpac.org/campaign,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
52,C00030718,NATIONAL ASSOCIATION OF REALTORS,369,62705.0,fec,in_master_no_party,Q,M,NATIONAL ASSOCIATION OF REALTORS,41.99,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,rule-engine-v2 (trade_assoc:name),yes
53,"WILLIAMS, JUMAANE D",,367,54474.21,nyccfb,not_in_fec_master,,,,42.23,DEM,false,false,high,Jumaane Williams is the Democratic New York City Public Advocate,,candidate,web-research-v2-2026-08-10,yes
54,C00068692,FEDEX CORPORATION,366,22635.0,fec,in_master_no_party,Q,C,FEDEX CORPORATION,42.47,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
55,C00400333,"INTERDIGITAL, INC.",363,6816.0,fec,in_master_no_party,Q,C,"INTERDIGITAL, INC.",42.71,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
56,C00894063,PRO-CHOICE MAJORITY 2024,357,4088.0,fec,in_master_no_party,V,,PRO-CHOICE MAJORITY 2024,42.94,DEM,false,false,high,Pro-Choice Majority 2024 is connected to the Elect Democratic Women Action Fund which exists to elect Democratic women,,ideological_pac,carried-forward:committees_tagged:connected_org,yes
57,C00040253,ALLSTATE INSURANCE CO.,357,11777.0,fec,in_master_no_party,Q,C,ALLSTATE INSURANCE CO.,43.18,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
58,C00895193,RETIRED AMERICANS PAC,355,4956.0,fec,in_master_no_party,O,,RETIRED AMERICANS PAC,43.41,DEM,false,false,medium,"Retired Americans PAC is the PAC of the Alliance for Retired Americans, a 501(c)(4) retiree advocacy organization founded by the AFL-CIO in 2001. It supports Democratic candidates. It is AFL-CIO-affiliated but is not itself a labor union and its PAC is not a union separate segregated fund, so it does not meet this project's labor-union definition.",https://retiredamericanspac.org/,ideological_pac,carried-forward:committee_overrides_corrected:connected_org,yes
59,C00897173,DEMOCRATS 2026,349,4660.0,fec,in_master_no_party,O,,,43.64,DEM,false,false,medium,Super PAC explicitly branded to Democratic donors and organized to support Democratic candidates,https://www.fec.gov/data/committee/C00897173/,ideological_pac,web-research-v2-2026-08-10,yes
60,C00808998,PROGRESSIVE TURNOUT PROJECT,348,13024.0,fec,in_master_no_party,V,,PROGRESSIVE TURNOUT PROJECT,43.87,DEM,false,false,high,Progressive Turnout Project is a Chicago based hybrid PAC whose stated goal is increasing voter turnout for Democratic candidates,https://www.influencewatch.org/political-party/progressive-turnout-project/,ideological_pac,carried-forward:committee_overrides_corrected:connected_org,yes
61,NYSANA-CRNA PAC,,342,30461.92,nyboe,in_master_no_party,,,,44.09,,false,true,high,NYSANA-CRNA PAC is the political fund of the New York State Association of Nurse Anesthetists which is a professional association rather than a contract-bargaining union,,trade_assoc_pac,carried-forward:committees_tagged:name,yes
62,C00369751,"DELL TECHNOLOGIES, INC. POLITICAL ACTION COMMITTEE",324,24460.0,fec,in_master_no_party,Q,C,,44.31,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,carried-forward:committees_tagged:resolved-fec-name,yes
63,C00772848,NO VOTE LEFT BEHIND PAC,324,10931.0,fec,in_master_no_party,V,,NONE,44.52,,false,false,low,Washington DC hybrid PAC treasurer Andrew Madras with no connected organization that spends nearly all receipts on operating costs so no partisan sponsor could be established,https://www.fec.gov/data/committee/C00772848/,other,web-research-v2-pass2-2026-08-10,yes
64,C00699470,PRO-ISRAEL AMERICA INC,324,67970.0,fec,in_master_no_party,Q,M,PRO-ISRAEL AMERICA INC,44.73,,false,false,high,Pro-Israel America is a single issue pro-Israel PAC that bundles for supportive incumbents in both parties like AIPAC,,ideological_pac,web-research-v2-2026-08-10,yes
65,C00370007,DEMOCRACY FOR AMERICA,286,5762.0,fec,in_master_no_party,V,,,44.92,DEM,false,false,high,Progressive PAC founded by Howard Dean that endorses and funds Democratic candidates,https://www.fec.gov/data/committee/C00370007/,ideological_pac,web-research-v2-2026-08-10,yes
66,C00255752,AMERICAN SOCIETY OF ANESTHESIOLOGISTS,285,59768.0,fec,in_master_no_party,Q,T,AMERICAN SOCIETY OF ANESTHESIOLOGISTS,45.11,,false,true,high,FEC registers this committee with organization type T meaning a trade association so it is an industry PAC that funds candidates of both parties,,trade_assoc_pac,rule-engine-v2 (fec:org_tp=trade_assoc),yes
67,C00760124,NATIONAL VICTORY ACTION FUND,280,10276.0,fec,in_master_no_party,W,,,45.29,,false,false,low,Terminated Arlington Virginia hybrid PAC treasurer Janna Rutland with no disclosed connected organization so the party behind its independent expenditures could not be established,https://www.fec.gov/data/committee/C00760124/,other,web-research-v2-pass2-2026-08-10,yes
68,C00219642,"ENTERPRISE HOLDINGS, INC.",278,49209.0,fec,in_master_no_party,Q,C,"ENTERPRISE HOLDINGS, INC.",45.47,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
69,C00326595,CAPITAL ONE FINANCIAL CORP.,278,16281.0,fec,in_master_no_party,Q,C,CAPITAL ONE FINANCIAL CORP.,45.66,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
70,C00754069,CRUISE FOR CANCUN,274,13781.0,fec,in_master_no_party,V,,CRUISE FOR CANCUN,45.84,,false,false,low,FEC C00754069 now files under the name PAF a Seattle hybrid PAC with no disclosed sponsor and the Cruise for Cancun branding does not establish a party,https://www.fec.gov/data/committee/C00754069/,other,web-research-v2-pass2-2026-08-10,yes
71,FARRELL FRITZ P.C.,,269,199650.0,nyboe,in_master_no_party,,,,46.01,,false,true,high,Farrell Fritz is a Uniondale based Long Island law firm and law firm political accounts fund officeholders of both parties for access,,corporate_pac,carried-forward:committees_tagged:name,yes
72,JOE CARDINALE FOR ASSEMBLY,,267,26779.3,nyboe,in_master_no_party,,,,46.19,REP,false,false,high,Joe Cardinale is the Republican candidate for New York State Assembly District 11 on Long Island,https://politicsny.com/election-primer-long-island/,candidate,web-research-v2-pass2-2026-08-10,yes
73,"KONST, NOMIKI D",,265,10503.8,nyccfb,not_in_fec_master,,,,46.36,DEM,false,false,high,Nomiki Konst ran in Democratic primaries for New York City Public Advocate and Comptroller,,candidate,web-research-v2-2026-08-10,yes
74,C00638320,DAGA PAC,263,20243.0,fec,in_master_no_party,V,,,46.54,DEM,false,false,high,PAC of the Democratic Attorneys General Association whose purpose is electing Democratic state attorneys general,,ideological_pac,carried-forward:committees_tagged:resolved-fec-name,yes
75,NVS VICTORY CAMPAIGN FUND,,262,299025.0,nyboe,in_master_no_party,,,,46.71,,false,false,low,No sponsoring candidate party or organization could be identified for this New York State committee,,other,web-research-v2-pass2-2026-08-10,yes
76,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,,261,36628.0,nyboe,in_master_no_party,,,,46.88,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,carried-forward:committees_tagged:name,yes
77,"CONSTANTINIDES, COSTA G",,260,50307.56,nyccfb,not_in_fec_master,,,,47.05,DEM,false,false,high,Costa Constantinides is a Democrat who represented Astoria on the New York City Council,,candidate,web-research-v2-2026-08-10,yes
78,C00085316,CIGNA CORPORATION,253,8067.0,fec,in_master_no_party,Q,C,CIGNA CORPORATION,47.22,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
79,C00199257,GENENTECH INC.,247,5415.0,fec,in_master_no_party,Q,C,GENENTECH INC.,47.38,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
80,FRIENDS OF SCOTT DAVIS,,244,47674.0,nyboe,in_master_no_party,,,,47.54,DEM,false,false,high,Scott Davis is the Democratic Nassau County Legislator for the 1st Legislative District,https://www.longislandpress.com/2025/11/04/election-long-island-results/,candidate,web-research-v2-pass2-2026-08-10,yes
81,CHRISTINE FOR NEW YORK,,244,42065.13,nyboe,in_master_no_party,,,,47.7,,false,false,low,Several New York Democrats and Republicans named Christine could match this committee so the candidate is ambiguous,,candidate,carried-forward:committees_tagged:name,yes
82,FRIENDS OF SEAN MCCARTHY,,239,87238.0,nyboe,not_in_fec_master,,,,47.86,DEM,false,false,medium,Sean McCarthy is the Port Washington police commissioner running for North Hempstead town supervisor against Republican line incumbent Jennifer DeSena,https://politicsny.com/2026/02/03/port-washington-police-commissioner-sean-mccarthy-launches-bid-for-north-hempstead-supervisor/,candidate,web-research-v2-pass2-2026-08-10,yes
83,C00751982,VOTING RIGHTS DEFENSE FUND,238,2843.0,fec,in_master_no_party,V,,NONE,48.01,,false,false,low,Washington DC hybrid PAC treasurer Brian Foucart with no connected organization and no independent expenditures so no partisan sponsor could be established,https://www.fec.gov/data/committee/C00751982/,other,web-research-v2-pass2-2026-08-10,yes
84,"JAIN, NEETA",,236,42288.0,nyccfb,not_in_fec_master,,,,48.17,DEM,false,false,medium,Dr Neeta Jain ran for New York City Council District 24 in Queens in 2021 and contested the Democratic primary after the nonpartisan special election,https://ballotpedia.org/Neeta_Jain,candidate,web-research-v2-2026-08-10,yes
85,"STRINGER, SCOTT M",,234,104139.18,nyccfb,not_in_fec_master,,,,48.32,DEM,false,false,high,Scott Stringer is the former Democratic New York City Comptroller and a Democratic mayoral primary candidate,,candidate,web-research-v2-2026-08-10,yes
86,FRIENDS OF TRISH KOPP,,232,30315.0,nyboe,in_master_no_party,,,,48.48,,false,false,low,No New York officeholder or candidate named Trish Kopp could be identified in Long Island or statewide sources,,candidate,web-research-v2-pass2-2026-08-10,yes
87,C00746073,DEMOCRACY DEFENSE ACTION,231,19450.0,fec,in_master_no_party,V,,NONE,48.63,,false,false,low,Washington DC hybrid PAC treasurer Alexandra Caiola with no connected organization and receipts that are almost entirely transfers so no partisan sponsor could be established,https://www.fec.gov/data/committee/C00746073/,other,web-research-v2-pass2-2026-08-10,yes
88,C00523498,COURAGE CALIFORNIA SUPER PAC,231,4025.0,fec,in_master_no_party,O,,NONE,48.78,DEM,false,false,medium,Courage California is a progressive California super PAC that works to elect Democrats,,ideological_pac,carried-forward:committees_tagged:resolved-fec-name,yes
89,C00367383,"IDT CORPORATION PAC (""IDT PAC"")",229,6030.0,fec,in_master_no_party,Q,C,,48.93,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,carried-forward:committees_tagged:resolved-fec-name,yes
