rank,committee,n_gifts,dollars,sources,state,cmte_tp,org_tp,connected_org,cum_pct_of_untagged,side,labor,corporate_trade,confidence,evidence,source_url,entity_type,idc_caucus,proposed_by,reviewed
1778,CITIZENS FOR TOM DOLAN,23,3450.0,nyboe,not_in_fec_master,,,,87.7,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1779,FRIENDS OF JACKIE DUODU-BURBRIDGE,23,1515.0,nyboe,not_in_fec_master,,,,87.71,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1780,FRIENDS OF LINDA DAVIS VALDEZ,23,3250.0,nyboe,not_in_fec_master,,,,87.72,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1781,CRAIG CARUANA 2013,23,2855.0,nyboe,not_in_fec_master,,,,87.73,REP,false,false,medium,Craig Caruana was the Republican nominee for New York City Council in Queens in 2013,,candidate,false,web-research-2026-08-09,yes
1782,JIM BRENNAN FOR NEW YORK,23,2770.0,nyboe,not_in_fec_master,,,,87.74,DEM,false,false,high,James F. Brennan was the Democratic New York State Assemblymember for the 44th district in Brooklyn,,candidate,false,web-research-2026-08-09,yes
1783,FRIENDS OF BETH FAUGHNAN,23,5375.0,nyboe,not_in_fec_master,,,,87.75,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1784,FIELD TEAM 6 FEC,23,2650.0,fec,in_master_no_party,O,,NONE,87.76,DEM,false,false,high,Field Team 6 is a federal group whose stated mission is registering Democratic voters to elect Democrats,,ideological_pac,false,web-research-2026-08-09,yes
1785,ELIZABETH KASE FOR COUNTY COURT,23,10425.0,nyboe,not_in_fec_master,,,,87.77,,false,false,medium,Elizabeth Kase ran for Nassau County Court and Nassau judicial races are routinely cross-endorsed by both major parties,,candidate,false,web-research-2026-08-09,yes
1786,HOUSE CONSERVATIVES TRUST,23,940.0,fec,in_master_no_party,N,,NONE,87.78,REP,false,false,medium,Federal PAC organized to elect conservative Republican members of the House of Representatives,,ideological_pac,false,web-research-2026-08-09,yes
1787,FRIENDS OF DIANE TUCCI,23,2690.24,nyboe,not_in_fec_master,,,,87.79,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1788,FRIENDS OF I. DANEEK MILLER,23,3065.0,nyboe,not_in_fec_master,,,,87.8,DEM,false,false,high,I. Daneek Miller was the Democratic New York City Council member for the 27th district in Queens,,candidate,false,web-research-2026-08-09,yes
1789,CITIZENS FOR BERNSTEIN,23,1245.0,nyboe,not_in_fec_master,,,,87.81,,false,false,low,Committee gives only a surname and no Bernstein could be matched to a New York race,,candidate,false,web-research-2026-08-09,yes
1790,COMMITTEE TO ELECT STEVEN NOVEMBER,23,1850.0,nyboe,not_in_fec_master,,,,87.82,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1791,NASSAU COUNTY CAUCUS OF BLACK DEMOCRATS,23,460.0,nyboe,not_in_fec_master,,,,87.83,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
1792,FRIENDS OF ED MUNOZ,23,3180.0,nyboe,not_in_fec_master,,,,87.84,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1793,HINCHEY FOR NY,23,12126.1,nyboe,not_in_fec_master,,,,87.85,DEM,false,false,high,Michelle Hinchey is the Democratic New York State Senator for the Hudson Valley district and daughter of Democratic congressman Maurice Hinchey,,candidate,false,web-research-2026-08-09,yes
1794,FRIENDS OF JUDGE ED DANE,23,4486.0,nyboe,not_in_fec_master,,,,87.86,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1795,LEW FIDLER FOR NEW YORK,23,8520.0,nyboe,not_in_fec_master,,,,87.87,DEM,false,false,high,Lewis Fidler was the Democratic New York City Council member for the 46th district in Brooklyn,,candidate,false,web-research-2026-08-09,yes
1796,LONG BEACH ONWARD,23,4835.0,nyboe,not_in_fec_master,,,,87.88,,false,false,low,Local Long Beach political committee whose sponsoring slate could not be identified,,other,false,web-research-2026-08-09,yes
1797,BETTER NY ALLIANCE,23,3170.0,nyboe,not_in_fec_master,,,,87.89,,false,false,low,Generic committee name with no identifiable sponsor or candidate,,other,false,web-research-2026-08-09,yes
1798,LYNAUGH 2013,23,6649.0,nyboe,not_in_fec_master,,,,87.9,,false,false,low,Committee gives only a surname and a year so no candidate could be matched to a New York race,,candidate,false,web-research-2026-08-09,yes
1799,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION POLITICAL ACTION COMMITTEE,23,14736.0,fec,in_master_no_party,Q,T,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION,87.91,,false,true,high,FEC registers this committee with organization type T meaning a trade association so it is an industry PAC that funds candidates of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (fec:org_tp=trade_assoc),yes
1800,DMFI PAC,23,70010.0,fec,in_master_no_party,W,,JEWISH DEMOCRACY PROJECT,87.92,DEM,false,false,high,Democratic Majority for Israel PAC supports Democratic candidates only which distinguishes it from the bipartisan AIPAC network,,ideological_pac,false,web-research-2026-08-09,yes
1801,RUSKIN MOSCOU FALTISCHEK P.C. POLITICAL ACTION COMMITTEE,23,11100.0,nyboe,not_in_fec_master,,,,87.93,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
1802,COMMITTEE TO ELECT JOHN TUFARELLI,23,6650.0,nyboe,not_in_fec_master,,,,87.94,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1803,NATIONAL ASSOCIATION OF POSTAL SUPERVISORS PAC,23,4840.0,fec,in_master_no_party,Q,T,NATIONAL ASSOCIATION OF POSTAL SUPERVISORS,87.95,,false,true,high,FEC registers this committee with organization type T meaning a trade association so it is an industry PAC that funds candidates of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (fec:org_tp=trade_assoc),yes
1804,UNITED CHIROPRACTOR'S FUND,23,6140.0,nyboe,not_in_fec_master,,,,87.96,,false,true,high,Political fund of chiropractors which is a licensed profession trade group rather than a bargaining union and funds Albany incumbents of both parties,,trade_assoc_pac,false,web-research-2026-08-09,yes
1805,TEAM TWEEDY,23,9120.0,nyboe,not_in_fec_master,,,,87.97,,false,false,low,Committee uses only a surname in a team name so the candidate could not be identified,,candidate,false,web-research-2026-08-09,yes
1806,FRIENDS OF SENATOR SERF MALTESE,22,1780.0,nyboe,not_in_fec_master,,,,87.98,REP,false,false,high,Serphin Maltese was the Republican New York State Senator for the 15th district in Queens and a longtime state Conservative Party chairman,,candidate,false,web-research-2026-08-09,yes
1807,PHILIPS NORTH AMERICA LLC POLITICAL ACTION COMMITTEE,22,800.0,fec,in_master_no_party,Q,C,PHILIPS NORTH AMERICA LLC,87.99,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (fec:org_tp=corporate),yes
1808,FRIENDS OF GARY ROSENTHAL,22,1750.0,nyboe,not_in_fec_master,,,,88.0,,false,false,low,Could not confirm which Gary Rosenthal this committee belongs to or what ballot line he ran on,,candidate,false,web-research-2026-08-09,yes
1809,COMMITTEE FOR COMMON SENSE AND FAIRNESS IN GOVERNMENT,22,258500.0,nyboe,not_in_fec_master,,,,88.01,,false,false,low,Generic good-government committee name with no identifiable sponsor,,other,false,web-research-2026-08-09,yes
1810,RED SENATE,22,5700.0,fec,in_master_no_party,O,,NONE,88.01,REP,false,false,medium,Federal independent expenditure committee whose stated goal is a Republican majority in the United States Senate,,ideological_pac,false,web-research-2026-08-09,yes
1811,SCHNEIDERMAN FOR ATTORNEY GENERAL INC.,22,79200.0,nyboe,not_in_fec_master,,,,88.02,DEM,false,false,high,Eric Schneiderman was the Democratic New York State Attorney General elected in 2010 and 2014,,candidate,false,web-research-2026-08-09,yes
1812,SEDACCA MAKES SENSE,22,4326.0,nyboe,not_in_fec_master,,,,88.03,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1813,O'DONNELL FOR NEW YORK,22,11100.0,nyboe,not_in_fec_master,,,,88.04,,false,false,low,Surname-only committee that cannot be separated from the several New York O'Donnells since a distinct Daniel O'Donnell committee also appears in this file,,candidate,false,web-research-2026-08-09,yes
1814,FRIENDS OF FARLEY,22,10450.0,nyboe,not_in_fec_master,,,,88.05,REP,false,false,medium,Best match is Hugh T. Farley the longtime Republican New York State Senator from Schenectady and no comparable New York Democrat of that surname exists,,candidate,false,web-research-2026-08-09,yes
1815,COMMITTEE TO ELECT THOMAS RADEMAKER TO FAMILY COURT,22,4375.0,nyboe,not_in_fec_master,,,,88.06,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1816,COMMITTEE TO ELECT ROBERT S. TEPPER,22,3330.0,nyboe,not_in_fec_master,,,,88.07,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1817,SINEMA FOR ARIZONA,22,34400.0,fec,in_master_no_party,S,,NONE,88.08,DEM,false,false,medium,Kyrsten Sinema was elected to the House and Senate as a Democrat and raised nearly all of this committee's money before leaving the party in December 2022,,candidate,false,web-research-2026-08-09,yes
1818,COMMITTEE TO ELECT FRANK DODDATO,22,3495.6,nyboe,not_in_fec_master,,,,88.09,,false,false,medium,Frank A. Doddato is a Nassau County District Court judge and Nassau judicial races are routinely cross-endorsed by both major parties,,candidate,false,web-research-2026-08-09,yes
1819,FRIENDS OF JUDGE FLANAGAN,22,3250.0,nyboe,not_in_fec_master,,,,88.1,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1820,COMMITTEE TO ELECT ERNIE WRUCK,22,2500.0,nyboe,not_in_fec_master,,,,88.11,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1821,UNITED DEMOCRACY PROJECT ('UDP'),22,731998.0,fec,in_master_no_party,O,,,88.12,,false,false,high,United Democracy Project is the AIPAC affiliated super PAC and AIPAC money is already settled as bipartisan in this project,,ideological_pac,false,web-research-2026-08-09,yes
1822,TROIANO TEAM,22,4250.0,nyboe,not_in_fec_master,,,,88.13,,false,false,low,Committee uses only a surname in a team name so the candidate could not be identified,,candidate,false,web-research-2026-08-09,yes
1823,TRI-STATE MAXED-OUT WOMEN,22,29200.0,fec,in_master_no_party,W,,NONE,88.14,DEM,false,false,medium,New York area women's donor network that bundles maximum contributions for Democratic candidates,,ideological_pac,false,web-research-2026-08-09,yes
1824,HAITIAN AMERICAN POLITICAL ACTION COMMITTEE OF NEW YORK INC.,22,2020.0,nyboe,not_in_fec_master,,,,88.15,,false,false,low,Haitian American community PAC whose purpose is ethnic community representation rather than electing one party's candidates,,ideological_pac,false,web-research-2026-08-09,yes
1825,VICTIMS RIGHTS NY PAC,22,3705.0,nyboe,not_in_fec_master,,,,88.16,,false,false,low,Single issue crime victims advocacy PAC that lobbies and funds legislators of both parties,,ideological_pac,false,web-research-2026-08-09,yes
1826,ALLIANCE FOR A NEW ISLIP,22,3800.0,nyboe,not_in_fec_master,,,,88.17,,false,false,low,Local Islip town reform committee whose sponsoring slate could not be identified,,other,false,web-research-2026-08-09,yes
1827,MUNIR AVERY FOR THE PEOPLE,22,10800.0,nyboe,not_in_fec_master,,,,88.18,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1828,SALAMANCA 2021,22,21037.5,nyboe,not_in_fec_master,,,,88.19,DEM,false,false,high,Rafael Salamanca Jr. is the Democratic New York City Council member for the 17th district in the Bronx,,candidate,false,web-research-2026-08-09,yes
1829,ROY LESTER FOR CITY COUNCIL,22,7425.0,nyboe,not_in_fec_master,,,,88.2,,false,false,low,Could not confirm which ballot line Roy Lester ran on for Long Beach City Council,,candidate,false,web-research-2026-08-09,yes
1830,GARGIULO FOR ASSEMBLY,22,3750.0,nyboe,not_in_fec_master,,,,88.2,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1831,FRIENDS OF DOUG MADLON,22,2400.0,nyboe,not_in_fec_master,,,,88.21,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1832,FRIENDS OF HERCULES,22,9621.0,nyboe,not_in_fec_master,,,,88.22,,false,false,low,Committee uses only a nickname so the candidate could not be identified,,candidate,false,web-research-2026-08-09,yes
1833,ROSS BARKAN FOR NEW YORK,22,1873.0,nyboe,not_in_fec_master,,,,88.23,DEM,false,false,high,Ross Barkan was the Democratic nominee for New York State Senate in the 22nd district in Brooklyn in 2018,,candidate,false,web-research-2026-08-09,yes
1834,NASTA FOR NORTH HEMPSTEAD SUPERVISOR,22,2735.0,nyboe,not_in_fec_master,,,,88.24,,false,false,low,Could not identify the Nasta who ran for North Hempstead Town Supervisor or which line he ran on,,candidate,false,web-research-2026-08-09,yes
1835,FRIENDS OF STEVE SNAIR,22,3945.0,nyboe,not_in_fec_master,,,,88.25,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1836,FRIENDS OF EDDIE DENSIESKI,22,2680.0,nyboe,not_in_fec_master,,,,88.26,REP,false,false,medium,Ed Densieski served on the Riverhead Town Board in Suffolk County as a Republican,,candidate,false,web-research-2026-08-09,yes
1837,FRIENDS OF DEBBIE PUGLIESE,22,3395.0,nyboe,not_in_fec_master,,,,88.27,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1838,DELGADO FOR NEW YORK,22,113627.5,nyboe,not_in_fec_master,,,,88.28,DEM,false,false,high,Antonio Delgado is the Democratic Lieutenant Governor of New York and former congressman for the 19th district,,candidate,false,web-research-2026-08-09,yes
1839,COMMITTEE TO RE-ELECT JUDGE WILLIAM J. O'BRIEN,22,4475.0,nyboe,not_in_fec_master,,,,88.29,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1840,RICHARD FOR NEW YORK,22,4150.0,nyboe,not_in_fec_master,,,,88.3,,false,false,low,Committee gives only a first name so no candidate could be identified,,candidate,false,web-research-2026-08-09,yes
1841,PAUL KENNY FOR SUPREME COURT,22,7950.0,nyboe,not_in_fec_master,,,,88.31,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1842,FRIENDS OF DANEEK MILLER 2017,22,3310.0,nyboe,not_in_fec_master,,,,88.32,DEM,false,false,high,I. Daneek Miller was the Democratic New York City Council member for the 27th district in Queens,,candidate,false,web-research-2026-08-09,yes
1843,CLEAN WATER OPEN SPACE CMTE '07,22,2015.0,nyboe,not_in_fec_master,,,,88.33,,false,false,low,Ballot proposition committee for a clean water and open space measure rather than a partisan committee,,ideological_pac,false,web-research-2026-08-09,yes
1844,RE-ELECT DONNA LENT,22,2890.0,nyboe,not_in_fec_master,,,,88.34,,false,false,medium,Donna Lent held the Brookhaven Town Clerk seat as an Independence Party leader and this project leaves Independence Party lines unassigned,,candidate,false,web-research-2026-08-09,yes
1845,FRIENDS OF JUDGE BRUNO,22,4825.0,nyboe,not_in_fec_master,,,,88.35,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1846,LCV VICTORY FUND,22,3475.0,fec,in_master_no_party,O,,LEAGUE OF CONSERVATION VOTERS ACTION FUND,88.36,DEM,false,false,medium,Independent expenditure arm of the League of Conservation Voters whose electoral spending is overwhelmingly for Democratic candidates,,ideological_pac,false,web-research-2026-08-09,yes
1847,FRIENDS OF ROBERT GERMINO (F.O.R.G.),22,3950.0,nyboe,not_in_fec_master,,,,88.37,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1848,COMMITTEE TO RE-ELECT JUDGE ANDREW M. ENGEL,22,2555.0,nyboe,not_in_fec_master,,,,88.38,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1849,COMMITTEE TO ELECT ED KRAUS,22,2505.0,nyboe,not_in_fec_master,,,,88.38,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1850,SAMY FOR NEW YORK,22,858.06,nyboe,not_in_fec_master,,,,88.39,,false,false,low,Committee uses only a first name and no Samy could be matched confidently to a New York race,,candidate,false,web-research-2026-08-09,yes
1851,ELIZABETH CROWLEY 2013,22,3850.0,nyboe,not_in_fec_master,,,,88.4,DEM,false,false,high,Elizabeth Crowley was the Democratic New York City Council member for the 30th district in Queens,,candidate,false,web-research-2026-08-09,yes
1852,PEOPLE FOR JGR,22,2235.0,nyboe,not_in_fec_master,,,,88.41,,false,false,low,Committee uses only initials so no candidate could be identified,,candidate,false,web-research-2026-08-09,yes
1853,DANIELS FOR NEW YORK,22,4685.0,nyboe,not_in_fec_master,,,,88.42,,false,false,low,Surname-only committee that could not be matched to a specific New York candidate,,candidate,false,web-research-2026-08-09,yes
1854,FRIENDS OF CARL L. MARCELLINO SENATE CLUB,22,5450.0,nyboe,not_in_fec_master,,,,88.43,REP,false,false,high,Carl Marcellino was the Republican New York State Senator for the 5th district covering Oyster Bay in Nassau County,,candidate,false,web-research-2026-08-09,yes
1855,FRIENDS OF RICHARD FELIX,22,4200.0,nyboe,not_in_fec_master,,,,88.44,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1856,COMMITTEE TO RE-ELECT WILLIAM OBRIEN,22,3500.0,nyboe,not_in_fec_master,,,,88.45,,false,false,low,Most likely the same William J. O'Brien judicial committee that appears separately in this file and those races are routinely cross-endorsed,,candidate,false,web-research-2026-08-09,yes
1857,FRIENDS OF BRAD WILSON,22,3800.0,nyboe,not_in_fec_master,,,,88.46,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1858,TEAM JORDAN,22,3497.0,fec,in_master_no_party,N,,NONE,88.47,,false,false,low,Federal committee whose Jordan could not be identified with confidence so no side is assigned,,other,false,web-research-2026-08-09,yes
1859,FRIENDS OF PETER LEGAKIS,22,5700.0,nyboe,not_in_fec_master,,,,88.48,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1860,COOLS FOR CLERK,22,2601.0,nyboe,not_in_fec_master,,,,88.49,,false,false,low,Could not identify the county or town clerk candidate named Cools so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1861,FRIENDS OF BOB KERN,22,4005.0,nyboe,not_in_fec_master,,,,88.5,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1862,FRIENDS OF CATHERINE RIZZO,22,7925.0,nyboe,not_in_fec_master,,,,88.51,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1863,NY HEALTH CARE PAC,22,79000.0,nyboe,not_in_fec_master,,,,88.52,,false,true,low,Reads as a health care industry association PAC that funds incumbents of both parties rather than a bargaining union but the exact sponsor could not be confirmed,,trade_assoc_pac,false,web-research-2026-08-09,yes
1864,FAMILIES FOR JUDGE BOGLE,22,3700.0,nyboe,not_in_fec_master,,,,88.53,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1865,FRIENDS OF JOHN ANDREWS,22,3140.0,nyboe,not_in_fec_master,,,,88.54,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1866,AB PAC,22,129897.0,fec,in_master_no_party,V,,,88.55,,false,false,low,Initials-only federal hybrid PAC whose sponsoring organization could not be identified,,other,false,web-research-2026-08-09,yes
1867,ABATE RRF INC.,22,5825.0,nyboe,not_in_fec_master,,,,88.56,,false,false,medium,Fund of the ABATE motorcyclist rights organization which is single issue and lobbies legislators of both parties,,ideological_pac,false,web-research-2026-08-09,yes
1868,WORKING FAMILIES PARTY PAC-NYS IE,22,702.0,nyboe,not_in_fec_master,,,,88.57,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
1869,JOE FOR NY,21,6690.0,nyboe,not_in_fec_master,,,,88.57,,false,false,low,Committee gives only a first name so no candidate could be identified,,candidate,false,web-research-2026-08-09,yes
1870,FRIENDS OF ROSANN ORLANDO,21,1280.0,nyboe,not_in_fec_master,,,,88.58,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1871,JAMES GOUNARIS FOR NORTH HEMPSTEAD COUNCILMAN,21,4525.0,nyboe,not_in_fec_master,,,,88.59,,false,false,low,Could not identify James Gounaris or which line he ran on for North Hempstead Town Council,,candidate,false,web-research-2026-08-09,yes
1872,JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE,21,210.0,fec,in_master_no_party,Q,C,JOHNSON & JOHNSON,88.6,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (fec:org_tp=corporate),yes
1873,JONES VICTORY FUND,21,16950.0,fec,in_master_no_party,N,,NONE,88.61,,false,false,low,Surname-only joint fundraising committee that could not be matched to a specific candidate,,joint_fundraising,false,web-research-2026-08-09,yes
1874,JOE KENT VICTORY FUND,21,10795.0,fec,in_master_no_party,N,,NONE,88.62,REP,false,false,high,Joint fundraising committee for Joe Kent the Trump-endorsed Republican nominee for Congress in Washington's 3rd district,,joint_fundraising,false,web-research-2026-08-09,yes
1875,CORNEGY FOR NEW YORK,21,12790.0,nyboe,not_in_fec_master,,,,88.63,DEM,false,false,high,Robert Cornegy Jr. was the Democratic New York City Council member for the 36th district in Brooklyn,,candidate,false,web-research-2026-08-09,yes
1876,PEOPLE FOR ELLEN YOUNG,21,16160.0,nyboe,not_in_fec_master,,,,88.64,DEM,false,false,medium,Ellen Young was the Democratic New York State Assemblymember for the 22nd district in Flushing Queens,,candidate,false,web-research-2026-08-09,yes
1877,COMMITTEE TO ELECT DONNA ENGLAND,21,4215.0,nyboe,not_in_fec_master,,,,88.65,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1878,CITIZENS FOR TOM WIERMANN,21,7150.9800000000005,nyboe,not_in_fec_master,,,,88.66,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1879,PEOPLE FOR MATT,21,2150.73,nyboe,not_in_fec_master,,,,88.66,,false,false,low,Committee gives only a first name so no candidate could be identified,,candidate,false,web-research-2026-08-09,yes
1880,VOTE FOR BABYLON,21,2710.0,nyboe,not_in_fec_master,,,,88.67,,false,false,low,Local Babylon town committee whose sponsoring slate could not be identified,,other,false,web-research-2026-08-09,yes
1881,VIVERITO NYC,21,2515.0,nyboe,not_in_fec_master,,,,88.68,DEM,false,false,medium,Melissa Mark-Viverito is the East Harlem Democrat who served as Speaker of the New York City Council,,candidate,false,web-research-2026-08-09,yes
1882,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,21,458.0,fec,in_master_no_party,Q,,BATTLEGROUND BLUE PAC,88.69,DEM,false,false,high,PAC of the Congressional Progressive Caucus which exists to elect progressive Democrats to Congress,,ideological_pac,false,web-research-2026-08-09,yes
1883,COMRIE FOR NYC (NEW YORK CITY),21,7800.0,nyboe,not_in_fec_master,,,,88.7,DEM,false,false,high,Leroy Comrie is the Democratic New York State Senator for the 14th district and a former New York City Council member from Queens,,candidate,false,web-research-2026-08-09,yes
1884,IWEN FOR NEW YORK,21,6500.77,nyboe,not_in_fec_master,,,,88.71,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1885,DEFEAT EXTREMISTS,21,995.0,fec,in_master_no_party,Q,,NONE,88.72,,false,false,low,Generic federal committee name used by groups on both sides so the sponsor could not be identified,,ideological_pac,false,web-research-2026-08-09,yes
1886,PETE HARCKHAM FOR NY,21,15675.0,nyboe,not_in_fec_master,,,,88.73,DEM,false,false,high,Peter Harckham is the Democratic New York State Senator for the 40th district in Westchester,,candidate,false,web-research-2026-08-09,yes
1887,"DEFEND FREEDOM, INC.",21,2722.0,fec,in_master_no_party,N,,GABBARD,88.74,,false,false,medium,Leadership PAC tied to Tulsi Gabbard who served as a Democrat then left the party and later aligned with Republicans so its money spans both sides,,leadership_pac,false,web-research-2026-08-09,yes
1888,COMMITTEE TO ELECT GREGG ROTH,21,5250.0,nyboe,not_in_fec_master,,,,88.75,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
1889,FRIENDS OF JUDGE VALERIE BULLARD,21,2510.0,nyboe,not_in_fec_master,,,,88.76,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1890,SANDERS FOR SENATE,21,15850.0,fec+nyboe,not_in_fec_master,,,,88.76,,false,false,medium,Records merge the federal committee of Bernie Sanders who is elected in Vermont on an independent line with a similarly named New York state filer,,candidate,false,web-research-2026-08-09,yes
1891,COMMITTEE TO RE-ELECT THERESA WHELAN,21,3380.0,nyboe,not_in_fec_master,,,,88.77,,false,false,medium,Theresa Whelan is a Suffolk County Surrogate's Court judge and Suffolk judicial races are routinely cross-endorsed by both major parties,,candidate,false,web-research-2026-08-09,yes
1892,COMMITTEE TO ELECT JUDGE FRANK A. DODDATO,21,4025.0,nyboe,not_in_fec_master,,,,88.78,,false,false,medium,Frank A. Doddato is a Nassau County District Court judge and Nassau judicial races are routinely cross-endorsed by both major parties,,candidate,false,web-research-2026-08-09,yes
1893,COMMITTEE TO RE-ELECT PITTS 4 JUSTICE,21,3550.0,nyboe,not_in_fec_master,,,,88.79,,false,false,medium,Judicial committee and Nassau and Suffolk judicial races are routinely cross-endorsed by both major parties so no single ballot line applies,,candidate,false,web-research-2026-08-09,yes
1894,ALLIANCE FOR PHARMACY COMPOUNDING PAC (COMP PAC),21,5250.0,fec,in_master_no_party,Q,M,ALLIANCE FOR PHARMACY COMPOUNDING,88.8,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
1895,FRIENDS OF WILLIAM VANHELMOND,21,3010.0,nyboe,not_in_fec_master,,,,88.81,,false,false,low,No New York candidate or officeholder of this name could be identified so no ballot line could be established,,candidate,false,web-research-2026-08-09,yes
